agent,N,final_err_mean,hit_ep_mean
sl,8,0.0,50000.0
sl,16,0.0,15000.0
sl,24,0.6250000000000016,61666.666666666664
sl,48,4.635416666666666,30000.0
sl,96,5.729166666666667,25000.0
sl,192,9.599609375000002,31666.666666666668
sl,384,11.30859375,30000.0
sl,768,14.97843424479167,18333.333333333332
standard,8,16.875,28333.333333333332
standard,16,19.218750000000004,76666.66666666667
standard,24,21.041666666666668,195000.0
standard,48,21.5625,135000.0
standard,96,20.416666666666668,83333.33333333333
standard,192,23.883463541666668,195000.0
standard,384,23.600260416666668,140000.0
standard,768,24.342244466145832,143333.33333333334
